"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category"
"Cd274",4.3919345393855e-08,1.46704595790206,0.75,0.75,0.00110364923040218,"Cd274","Upregulated"
"Ifi206",4.6833301686597e-08,2.45345947863073,1,0.75,0.0011768740380825,"Ifi206","Upregulated"
"Helz2",6.22111900318362e-08,1.62016623404125,1,0.75,0.00156330499431001,"Helz2","Upregulated"
"Kdr",6.28094764826578e-08,0.966914675267738,0.75,0.75,0.00157833933453271,"Kdr","Upregulated"
"Sp100",6.82737111328769e-08,1.93475139750206,1,0.75,0.00171565008705806,"Sp100","Upregulated"
"Gm4070",1.03776787286396e-07,1.49774949068694,1,0.75,0.00260780688771986,"Gm4070","Upregulated"
"Eif2ak2",1.0950892846931e-07,1.89665961132541,1,0.75,0.0027518498635053,"Eif2ak2","Upregulated"
"Vcan",1.16648237216064e-07,1.63337580419703,1,0.75,0.00293125355300246,"Vcan","Upregulated"
"Scimp",1.32539206730402e-07,1.58843242043321,1,0.75,0.00333057772592827,"Scimp","Upregulated"
"Ms4a4b",1.3921567412248e-07,1.31969090796919,1,0.75,0.00349835067502379,"Ms4a4b","Upregulated"
"Ifi44",1.43836439266181e-07,1.37675552824725,0.75,0.75,0.00361446588231987,"Ifi44","Upregulated"
"Apod",1.47962162500423e-07,1.18185201214184,1,0.75,0.00371814118147314,"Apod","Upregulated"
"Omp",1.51187749088703e-07,-1.59387834519053,1,1,0.00379919694685002,"Omp","Downregulated"
"Oas1g",1.69295842333462e-07,1.31528011518586,1,0.75,0.00425423522199757,"Oas1g","Upregulated"
"Trim30a",1.82486687286401e-07,1.81217535460029,1,0.75,0.00458570796481998,"Trim30a","Upregulated"
"Ccl5",2.18199390386599e-07,3.98774167831871,1,0.75,0.00548313248102485,"Ccl5","Upregulated"
"Arl6ip5",2.20226738204803e-07,1.47887635802642,1,0.75,0.00553407770434849,"Arl6ip5","Upregulated"
"Oas1a",2.40885555176352e-07,1.34418276437635,1,0.75,0.00605321311602656,"Oas1a","Upregulated"
"Lgals3bp",3.50857805318644e-07,1.76579653889572,1,0.75,0.00881670578985222,"Lgals3bp","Upregulated"
"Tspo",3.59069015172317e-07,1.87909764174528,1,0.75,0.00902304528226517,"Tspo","Upregulated"
"Zup1",4.71669731651591e-07,1.76053093361226,1,0.75,0.0118525886866728,"Zup1","Upregulated"
"AY036118",5.40236405855978e-07,1.9796171317912,1,0.75,0.0135756006427549,"AY036118","Upregulated"
"Pml",5.53174171991515e-07,1.47406525712439,1,0.75,0.0139007137679748,"Pml","Upregulated"
"Ms4a6b",6.23858189672052e-07,1.76507642383609,1,0.75,0.015676932448269,"Ms4a6b","Upregulated"
"Irgm2",7.13443702730739e-07,1.30577093486775,1,0.75,0.0179281268059207,"Irgm2","Upregulated"
"Gm20559",7.20778621704743e-07,1.35680738756909,1,0.75,0.0181124459848185,"Gm20559","Upregulated"
"Cd81",8.16617228695804e-07,-1.87499544635697,1,1,0.0205207743398969,"Cd81","Downregulated"
"Fcgr1",9.35980777363013e-07,1.70338176114307,1,0.75,0.0235202609543552,"Fcgr1","Upregulated"
"Nr1h3",9.8298786482905e-07,1.16984478797137,1,0.75,0.0247015020552892,"Nr1h3","Upregulated"
"Gpr141",1.08595392511413e-06,1.60848481298143,1,0.75,0.027288936184193,"Gpr141","Upregulated"
"Cxcl9",1.12727585878628e-06,3.59795382352933,1,0.5,0.0283273150554403,"Cxcl9","Upregulated"
"Gbp5",1.13505772573872e-06,2.4579116526605,1,0.75,0.0285228655900884,"Gbp5","Upregulated"
"Oas2",1.39029839537305e-06,1.34931965797691,1,0.75,0.0349368083773294,"Oas2","Upregulated"
"Trim30d",1.48160325497918e-06,0.0228175438349556,1,1,0.0372312081943717,"Trim30d","Not Significant"
"Il15",1.54389669514586e-06,1.44440206497539,1,0.75,0.0387965800523202,"Il15","Upregulated"
"Capg",1.73269551984625e-06,1.60461433182287,1,0.75,0.0435409057182164,"Capg","Upregulated"
"Lipg",1.74180271203275e-06,0.762717817668597,0.75,0.25,0.0437697603506709,"Lipg","Upregulated"
"Aldh1b1",1.7513906484161e-06,1.20043020249829,1,0.75,0.0440106956040482,"Aldh1b1","Upregulated"
"Serpina3f",1.76386523190317e-06,1.4249706460661,1,0.25,0.0443241694124947,"Serpina3f","Upregulated"
"Wfdc18",1.86576456224085e-06,-1.24471543529354,0.75,0.75,0.0468847976845503,"Wfdc18","Downregulated"
"C3",1.98432152824371e-06,0.248648444566431,1,1,0.0498640156832361,"C3","Not Significant"
"Jak2",2.04273706710491e-06,1.48125540099849,1,0.75,0.0513319397592793,"Jak2","Not Significant"
"Slco3a1",2.18569367019136e-06,1.09374740687616,1,0.75,0.0549242962382387,"Slco3a1","Not Significant"
"Fstl5",2.3411517511611e-06,-1.61170023636904,1,1,0.0588308023549272,"Fstl5","Not Significant"
"Dtx3l",2.65672264091414e-06,-0.151321856003911,1,1,0.0667607832435315,"Dtx3l","Not Significant"
