"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0045088","GO:0045088","regulation of innate immune response",444,0.54725650416245,1.63356955546894,4.54286132130327e-08,1.98151351087392e-05,1.88061416994813e-05,1920,"tags=33%, list=12%, signal=30%","58185/100038882/226695/14469/54123/231655/71586/58203/24110/236312/229898/102639543/381308/215900/623121/15951/246727/434219/55932/20847/98999/27007/16145/100040462/19106/20128/21354/100033459/56045/70110/74748/80861/327957/226691/244183/545384/60533/17874/83490/16365/54483/246746/64685/80285/246730/56619/23960/54396/12362/434341/26365/28185/15040/15950/67245/234311/16362/231712/22259/73945/78781/19419/66824/76681/80751/16160/217069/214763/319236/21355/107607/384309/14191/55992/547253/21803/11765/17002/11845/12928/12363/12370/17164/19016/57783/93694/14289/20375/13057/15170/433693/20202/210808/17916/20963/14991/234779/56208/76438/16363/16784/212937/104709/19014/66878/12768/18712/108960/20779/211550/279572/12524/226421/102626/14479/56489/257632/11798/231798/71268/26904/68077/13482/67845/170743/81601/26987/56480/53610/108089/17969/81897/228136/18081/11692/67070/229900/12539/94091/207521/332579/20821/110651/171285/19697/100340/22324/19063"
"GO:0045069","GO:0045069","regulation of viral genome replication",82,0.737497488140437,1.87607790591372,7.57307446015873e-08,3.0279676049868e-05,2.87378246619708e-05,758,"tags=37%, list=5%, signal=35%","58185/100038882/20304/57444/231655/71586/236312/102639543/23962/623121/246727/98999/100040462/19106/100033459/226691/545384/20568/69550/246728/246730/23960/66141/15950/78781/80287/17002/73158/20853/213002"
"GO:0031349","GO:0031349","positive regulation of defense response",482,0.523815297667287,1.57225987652205,2.56785519336583e-07,9.47736093674559e-05,8.99477049919076e-05,1920,"tags=30%, list=12%, signal=27%","58185/20304/226695/14469/54123/231655/71586/58203/236312/229898/102639543/381308/623121/15951/246727/434219/55932/98999/27007/16145/100040462/19106/20128/100033459/70110/14129/80861/327957/226691/244183/545384/60533/17874/83490/16365/54483/246746/64685/80285/12772/246730/12774/56619/23960/54396/12362/56312/434341/28185/15040/15950/67245/234311/16362/22259/73945/78781/19419/66824/76681/80751/16160/217069/16835/214763/319236/69146/107607/384309/55992/18413/21803/11765/17002/11845/12363/11690/17164/57783/14289/20375/13057/16170/433693/20202/210808/20963/21937/13202/14991/19225/234779/56208/268749/76438/16363/16784/16193/212937/19766/19014/66878/108960/20779/211550/279572/12524/226421/102626/14479/56489/257632/11798/231798/246707/16172/14127/71268/26904/68077/13482/71609/67845/170743/81601/56480/12608/53610/108089/81897/228136/18081/67070/229900/26410/94091/332579/110651/171285/19697/100340/22324/11541/19063"
"GO:0034341","GO:0034341","response to type II interferon",128,0.659489343614485,1.77934174942616,3.8937318976611e-07,0.000133443754606985,0.000126648753302872,2147,"tags=45%, list=13%, signal=40%","20304/14469/15018/229898/11898/13163/55932/20684/16145/236573/14528/12332/108670/16452/17472/16365/54483/80285/69550/20912/54396/12362/66141/434341/16362/22793/74732/100702/16160/20846/547253/55943/19016/14026/20874/22352/17913/53330/213002/66102/20909/19014/18712/69834/226421/626578/76074/11629/229900/12539/20821/12265/286940/22319/74117/19255/20911/22376"
"GO:0002181","GO:0002181","cytoplasmic translation",161,-0.578395381695912,-1.80972042214392,6.2132333819204e-07,0.000198740625109694,0.000188620684983773,1291,"tags=46%, list=8%, signal=43%","319195/56347/268449/14109/19944/78294/20068/20091/20088/26451/16785/269261/66480/20055/20044/75617/20054/19989/67097/20085/66475/68436/20102/19951/22121/68052/19941/13682/27176/27367/13629/67891/67186/20116/68135/27207/56040/19933/20042/67427/267019/114641/19896/19988/217869/22608/20104/65019/19943/54217/12785/67281/18458/19981/27370/57808/67115/67671/54127/20090/19946/67248/19934/68028/56726/75705/66481/67945/13669/69674/66489/19982/66244/231207"
"GO:0045089","GO:0045089","positive regulation of innate immune response",373,0.533825250226388,1.57439954457837,1.16750010583449e-06,0.000350104094237119,0.000332276674857896,1920,"tags=32%, list=12%, signal=29%","58185/226695/14469/54123/231655/71586/58203/236312/229898/102639543/381308/623121/15951/246727/434219/55932/98999/27007/16145/100040462/19106/20128/100033459/70110/80861/327957/226691/244183/545384/60533/17874/83490/16365/54483/246746/64685/80285/246730/56619/23960/54396/12362/434341/28185/15040/15950/67245/234311/16362/22259/73945/78781/19419/66824/76681/80751/16160/217069/214763/319236/107607/384309/55992/11765/17002/11845/12363/17164/57783/14289/20375/13057/433693/20202/210808/20963/14991/234779/56208/76438/16363/16784/212937/19014/66878/108960/20779/211550/279572/12524/226421/102626/14479/56489/257632/11798/231798/71268/26904/68077/13482/67845/170743/81601/56480/53610/108089/81897/228136/18081/67070/229900/94091/332579/110651/171285/19697/100340/22324/19063"
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen",23,0.89272785245532,1.82081375231431,1.47761711072341e-06,0.000393867049847274,0.000373811205905818,740,"tags=52%, list=4%, signal=50%","15018/15039/21354/15015/21356/15040/15042/14964/21355/14972/14991/12010"
"GO:0019885","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I",23,0.89272785245532,1.82081375231431,1.47761711072341e-06,0.000393867049847274,0.000373811205905818,740,"tags=52%, list=4%, signal=50%","15018/15039/21354/15015/21356/15040/15042/14964/21355/14972/14991/12010"
"GO:0050792","GO:0050792","regulation of viral process",149,0.631173738694033,1.72791610598675,2.73352951673114e-06,0.000624546410536954,0.000592744295206964,1849,"tags=38%, list=11%, signal=34%","58185/100038882/20304/57444/231655/71586/236312/102639543/23962/623121/246727/434219/98999/20684/100040462/19106/20128/100033459/226691/244183/545384/20568/69550/246728/246730/23960/66141/15950/330192/78781/80287/76681/217069/20846/319236/17002/73158/13001/20853/213002/235047/75339/67846/22221/74735/214523/12642/218850/16650/28036/229900/67231/14265/94091/20821/16543/84505"
"GO:0002218","GO:0002218","activation of innate immune response",306,0.550336086896076,1.60873361072184,2.63753252460199e-06,0.000624546410536954,0.000592744295206964,1828,"tags=33%, list=11%, signal=30%","58185/226695/14469/54123/231655/71586/58203/236312/229898/102639543/381308/623121/15951/246727/434219/55932/98999/27007/16145/100040462/19106/20128/100033459/70110/80861/327957/226691/244183/545384/60533/17874/83490/16365/54483/246746/64685/246730/56619/23960/54396/12362/28185/15950/67245/234311/16362/22259/73945/78781/66824/76681/80751/217069/214763/319236/107607/55992/17002/11845/12363/17164/57783/13057/20202/210808/20963/234779/56208/76438/16363/16784/212937/66878/108960/20779/211550/279572/12524/226421/102626/14479/56489/257632/11798/231798/71268/68077/67845/170743/56480/53610/108089/81897/228136/18081/67070/229900/94091/110651/171285/19697"
